objectid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,resource,object_template,object_download,image_small,image_thumb
uighana-006a,Senegal,Felix Akusa Adjetey Sowah,2005,"The Teshie-Nungua Cultural Dance Troupe performs Senegal. The ensemble is (left to right, back row): tubano, ƞono. The three sitting are playing three distinct drums each. The left most musician is playing on the atswereshie and conducting the calls and form of the ensemble. The middle seated one is performing on an atswereshie, Eʋe sogo, and Eʋe Kidi. The musician in the far right is playing the atswereshie and Eʋe kagan.",dance; Ga; Senegal; tubano; ƞono; atswereshie; kpanlogo; sogo; kidi; Eʋe; kagan; ,Accra,5.55,-0.2,Barry Bilderback Personal Ethnomusicology Record,uighana-006a,Image;MovingImage,video/mp4,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,"<a href='/ghana-music-initiative/bibliography.html#nii-yartey'>Nii-Yartey, Francis, Marian Horowitz, Andrews K. Agyemfra-Tettey, and Nketia J H Kwabena. <em>African Dance in Ghana: Contemporary Transformations</em>. London: Mot Juste Limited, 2016.</a></br><a href='/ghana-music-initiative/bibliography.html#younge'>Younge, Paschal Yao. <em>Music and Dance Traditions of Ghana: History, Performance, and Teaching</em>. McFarland & Co., 2011.</a>",item_video,https://youtu.be/YStk0XusxJA,https://img.youtube.com/vi/YStk0XusxJA/hqdefault.jpg,https://img.youtube.com/vi/YStk0XusxJA/mqdefault.jpg
uighana-006b,Sobima,Felix Akusa Adjetey Sowah,2005,"The Teshie-Nungua Cultural Dance Troupe performs Sobima. The ensemble is (left to right, back to front): ƞono, shekeshe, atswereshie, atswereshie, Eʋe kagan.",dance; Ga; Sobima; ƞono; shekeshe; atswereshie; kpanlogo; kagan;,Accra,5.55,-0.2,Barry Bilderback Personal Ethnomusicology Record,uighana-006b,Image;MovingImage,video/mp4,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,"<a href='/ghana-music-initiative/bibliography.html#nii-yartey'>Nii-Yartey, Francis, Marian Horowitz, Andrews K. Agyemfra-Tettey, and Nketia J H Kwabena. <em>African Dance in Ghana: Contemporary Transformations</em>. London: Mot Juste Limited, 2016.</a></br><a href='/ghana-music-initiative/bibliography.html#younge'>Younge, Paschal Yao. <em>Music and Dance Traditions of Ghana: History, Performance, and Teaching</em>. McFarland & Co., 2011.</a>",item_video,https://youtu.be/ZCiWLWlefHA,https://img.youtube.com/vi/ZCiWLWlefHA/hqdefault.jpg,https://img.youtube.com/vi/ZCiWLWlefHA/mqdefault.jpg
uighana-006c,Sanka,Felix Akusa Adjetey Sowah,2005,"The Teshie-Nungua Cultural Dance Troupe performs Sanka. The ensemble is (left to right, back to front): tubano, ƞono, shekeshe, atswereshie, Eʋe kagan.",dance; Ga; Sanka; tubano; ƞono; shekeshe; atswereshie; Eʋe; kagan,Accra,5.55,-0.2,Barry Bilderback Personal Ethnomusicology Record,uighana-006c,Image;MovingImage,video/mp4,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,"<a href='/ghana-music-initiative/bibliography.html#nii-yartey'>Nii-Yartey, Francis, Marian Horowitz, Andrews K. Agyemfra-Tettey, and Nketia J H Kwabena. <em>African Dance in Ghana: Contemporary Transformations</em>. London: Mot Juste Limited, 2016.</a></br><a href='/ghana-music-initiative/bibliography.html#younge'>Younge, Paschal Yao. <em>Music and Dance Traditions of Ghana: History, Performance, and Teaching</em>. McFarland & Co., 2011.</a>",item_video,https://youtu.be/Oi8ndqgsL5s,https://img.youtube.com/vi/Oi8ndqgsL5s/hqdefault.jpg,https://img.youtube.com/vi/Oi8ndqgsL5s/mqdefault.jpg
uighana-006d,Gahu,Felix Akusa Adjetey Sowah,2005,"The Teshie-Nungua Cultural Dance Troupe performs the Central Eʋe dance, Gahu. The ensemble is (left to right, back to front): ƞono, shekeshe, Eʋe sogo, Eʋe kidi, Eʋe kagan.",dance; Eʋe; Gahu; ƞono; shekeshe; Eʋe; sogo; kidi; kagan;,Accra,5.55,-0.2,Barry Bilderback Personal Ethnomusicology Record,uighana-006d,Image;MovingImage,video/mp4,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,"<a href='/ghana-music-initiative/bibliography.html#nii-yartey'>Nii-Yartey, Francis, Marian Horowitz, Andrews K. Agyemfra-Tettey, and Nketia J H Kwabena. <em>African Dance in Ghana: Contemporary Transformations</em>. London: Mot Juste Limited, 2016.</a></br><a href='/ghana-music-initiative/bibliography.html#younge'>Younge, Paschal Yao. <em>Music and Dance Traditions of Ghana: History, Performance, and Teaching</em>. McFarland & Co., 2011.</a>",item_video,https://youtu.be/KCi0AeMaB94,https://img.youtube.com/vi/KCi0AeMaB94/hqdefault.jpg,https://img.youtube.com/vi/KCi0AeMaB94/mqdefault.jpg
uighana-006e,Kpanlogo,Felix Akusa Adjetey Sowah,2005,"The Teshie-Nungua Cultural Dance Troupe performs Kpanlogo. The ensemble is (left to right, back to front): ƞono, shekeshe, atswereshie, atswereshie, atswereshie.",dance; Ga; Kpanlogo; ƞono; shekeshe; atswereshie;,Accra,5.55,-0.2,Barry Bilderback Personal Ethnomusicology Record,uighana-006e,Image;MovingImage,video/mp4,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,"<a href='/ghana-music-initiative/bibliography.html#nii-yartey'>Nii-Yartey, Francis, Marian Horowitz, Andrews K. Agyemfra-Tettey, and Nketia J H Kwabena. <em>African Dance in Ghana: Contemporary Transformations</em>. London: Mot Juste Limited, 2016.</a></br><a href='/ghana-music-initiative/bibliography.html#younge'>Younge, Paschal Yao. <em>Music and Dance Traditions of Ghana: History, Performance, and Teaching</em>. McFarland & Co., 2011.</a>",item_video,https://youtu.be/9dwwWZ3_5j4,https://img.youtube.com/vi/9dwwWZ3_5j4/hqdefault.jpg,https://img.youtube.com/vi/9dwwWZ3_5j4/mqdefault.jpg
uighana-006f,Kpatsa,Felix Akusa Adjetey Sowah,2005,"The Teshie-Nungua Cultural Dance Troupe performs Kpatsa, primarily practiced by Ga-Adangbe and Eʋe. The ensemble is (left to right, back to front): ƞono, shekeshe, atswereshie, Eʋe sogo, and Eʋe kagan.",dance; Ga; Eʋe; Kpatsa; ƞono; shekeshe; atswereshie; kpanlogo; Eʋe; sogo; kagan;,Accra,5.55,-0.2,Barry Bilderback Personal Ethnomusicology Record,uighana-006f,Image;MovingImage,video/mp4,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,"<a href='/ghana-music-initiative/bibliography.html#nii-yartey'>Nii-Yartey, Francis, Marian Horowitz, Andrews K. Agyemfra-Tettey, and Nketia J H Kwabena. <em>African Dance in Ghana: Contemporary Transformations</em>. London: Mot Juste Limited, 2016.</a></br><a href='/ghana-music-initiative/bibliography.html#younge'>Younge, Paschal Yao. <em>Music and Dance Traditions of Ghana: History, Performance, and Teaching</em>. McFarland & Co., 2011.</a>",item_video,https://youtu.be/lQGR00TzfaA,https://img.youtube.com/vi/lQGR00TzfaA/hqdefault.jpg,https://img.youtube.com/vi/lQGR00TzfaA/mqdefault.jpg
uighana-006g,Femefeme,Felix Akusa Adjetey Sowah,2005,"The Teshie-Nungua Cultural Dance Troupe performs Femefeme. The ensemble is (left to right, back to front): ƞono, shekeshe, atswereshie, atswereshie, atswereshie.",dance; Ga; Femefeme; ƞono; shekshe; atswereshie; kpanlogo,Accra,5.55,-0.2,Barry Bilderback Personal Ethnomusicology Record,uighana-006g,Image;MovingImage,video/mp4,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,"<a href='/ghana-music-initiative/bibliography.html#nii-yartey'>Nii-Yartey, Francis, Marian Horowitz, Andrews K. Agyemfra-Tettey, and Nketia J H Kwabena. <em>African Dance in Ghana: Contemporary Transformations</em>. London: Mot Juste Limited, 2016.</a></br><a href='/ghana-music-initiative/bibliography.html#younge'>Younge, Paschal Yao. <em>Music and Dance Traditions of Ghana: History, Performance, and Teaching</em>. McFarland & Co., 2011.</a>",item_video,https://youtu.be/edQjlG5SfzA,https://img.youtube.com/vi/edQjlG5SfzA/hqdefault.jpg,https://img.youtube.com/vi/edQjlG5SfzA/mqdefault.jpg
uighana-006h,Setse,Felix Akusa Adjetey Sowah,2005,"The Teshie-Nungua Cultural Dance Troupe performs Setse. The ensemble is (left to right, back to front): Eʋe mba (bamboo clappers), ƞono, shekeshe, atswereshie, atswereshie, atswereshie.",dance; Ga; Setse; Eʋe; mba; ƞono; shekeshe; atswereshie; kpanlogo; ,Accra,5.55,-0.2,Barry Bilderback Personal Ethnomusicology Record,uighana-006h,Image;MovingImage,video/mp4,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,"<a href='/ghana-music-initiative/bibliography.html#nii-yartey'>Nii-Yartey, Francis, Marian Horowitz, Andrews K. Agyemfra-Tettey, and Nketia J H Kwabena. <em>African Dance in Ghana: Contemporary Transformations</em>. London: Mot Juste Limited, 2016.</a></br><a href='/ghana-music-initiative/bibliography.html#younge'>Younge, Paschal Yao. <em>Music and Dance Traditions of Ghana: History, Performance, and Teaching</em>. McFarland & Co., 2011.</a>",item_video,https://youtu.be/Yscjl7u56kA,https://img.youtube.com/vi/Yscjl7u56kA/hqdefault.jpg,https://img.youtube.com/vi/Yscjl7u56kA/mqdefault.jpg
uighana-006i,Gome,Felix Akusa Adjetey Sowah,2005,"The Teshie-Nungua Cultural Dance Troupe performs Gome. The ensemble is (left to right, back to front): shekshe, ƞono, gome, atswereshie, atswereshie.",dance; Ga; Gome; shekeshe; ƞono; gome; atswereshie; kpanlogo; ,Accra,5.55,-0.2,Barry Bilderback Personal Ethnomusicology Record,uighana-006i,Image;MovingImage,video/mp4,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,"<a href='/ghana-music-initiative/bibliography.html#nii-yartey'>Nii-Yartey, Francis, Marian Horowitz, Andrews K. Agyemfra-Tettey, and Nketia J H Kwabena. <em>African Dance in Ghana: Contemporary Transformations</em>. London: Mot Juste Limited, 2016.</a></br><a href='/ghana-music-initiative/bibliography.html#younge'>Younge, Paschal Yao. <em>Music and Dance Traditions of Ghana: History, Performance, and Teaching</em>. McFarland & Co., 2011.</a>",item_video,https://youtu.be/mHZNUod80KE,https://img.youtube.com/vi/mHZNUod80KE/hqdefault.jpg,https://img.youtube.com/vi/mHZNUod80KE/mqdefault.jpg
uighana-007,Kpanlogo Drum,Allan Fraser – Strobilus,2007-04-02,Musician playing two kpanlogo (atswereshie) drums with sticks,dance; Kpanlogo; Ga; atswereshie,Accra,5.55,-0.205,Wikimedia Commons,uighana-007,Image;StillImage,image/jpg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,,item_image,https://www.lib.uidaho.edu/digital/objects/ghana-music/uighana-007.jpg,https://www.lib.uidaho.edu/digital/objects/ghana-music/small/uighana-007_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ghana-music/thumbs/uighana-007_th.jpg
