title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,object_thumb,object_download,reference_url
"Senegal","Felix Akusa Adjetey Sowah","2005","The Teshie-Nungua Cultural Dance Troupe performs Senegal. The ensemble is (left to right, back row): tubano, ƞono. The three sitting are playing three distinct drums each. The left most musician is playing on the atswereshie and conducting the calls and form of the ensemble. The middle seated one is performing on an atswereshie, Eʋe sogo, and Eʋe Kidi. The musician in the far right is playing the atswereshie and Eʋe kagan.","dance; Ga; Senegal; tubano; ƞono; atswereshie; kpanlogo; sogo; kidi; Eʋe; kagan; ","Accra","5.55","-0.2","Barry Bilderback Personal Ethnomusicology Record","uighana-006a","Image;MovingImage","video/mp4","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://img.youtube.com/vi/YStk0XusxJA/mqdefault.jpg","https://youtu.be/YStk0XusxJA","https://thecdil.github.io//ghana-music-initiative/items/uighana-006a.html"
"Sobima","Felix Akusa Adjetey Sowah","2005","The Teshie-Nungua Cultural Dance Troupe performs Sobima. The ensemble is (left to right, back to front): ƞono, shekeshe, atswereshie, atswereshie, Eʋe kagan.","dance; Ga; Sobima; ƞono; shekeshe; atswereshie; kpanlogo; kagan;","Accra","5.55","-0.2","Barry Bilderback Personal Ethnomusicology Record","uighana-006b","Image;MovingImage","video/mp4","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://img.youtube.com/vi/ZCiWLWlefHA/mqdefault.jpg","https://youtu.be/ZCiWLWlefHA","https://thecdil.github.io//ghana-music-initiative/items/uighana-006b.html"
"Sanka","Felix Akusa Adjetey Sowah","2005","The Teshie-Nungua Cultural Dance Troupe performs Sanka. The ensemble is (left to right, back to front): tubano, ƞono, shekeshe, atswereshie, Eʋe kagan.","dance; Ga; Sanka; tubano; ƞono; shekeshe; atswereshie; Eʋe; kagan","Accra","5.55","-0.2","Barry Bilderback Personal Ethnomusicology Record","uighana-006c","Image;MovingImage","video/mp4","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://img.youtube.com/vi/Oi8ndqgsL5s/mqdefault.jpg","https://youtu.be/Oi8ndqgsL5s","https://thecdil.github.io//ghana-music-initiative/items/uighana-006c.html"
"Gahu","Felix Akusa Adjetey Sowah","2005","The Teshie-Nungua Cultural Dance Troupe performs the Central Eʋe dance, Gahu. The ensemble is (left to right, back to front): ƞono, shekeshe, Eʋe sogo, Eʋe kidi, Eʋe kagan.","dance; Eʋe; Gahu; ƞono; shekeshe; Eʋe; sogo; kidi; kagan;","Accra","5.55","-0.2","Barry Bilderback Personal Ethnomusicology Record","uighana-006d","Image;MovingImage","video/mp4","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://img.youtube.com/vi/KCi0AeMaB94/mqdefault.jpg","https://youtu.be/KCi0AeMaB94","https://thecdil.github.io//ghana-music-initiative/items/uighana-006d.html"
"Kpanlogo","Felix Akusa Adjetey Sowah","2005","The Teshie-Nungua Cultural Dance Troupe performs Kpanlogo. The ensemble is (left to right, back to front): ƞono, shekeshe, atswereshie, atswereshie, atswereshie.","dance; Ga; Kpanlogo; ƞono; shekeshe; atswereshie;","Accra","5.55","-0.2","Barry Bilderback Personal Ethnomusicology Record","uighana-006e","Image;MovingImage","video/mp4","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://img.youtube.com/vi/9dwwWZ3_5j4/mqdefault.jpg","https://youtu.be/9dwwWZ3_5j4","https://thecdil.github.io//ghana-music-initiative/items/uighana-006e.html"
"Kpatsa","Felix Akusa Adjetey Sowah","2005","The Teshie-Nungua Cultural Dance Troupe performs Kpatsa, primarily practiced by Ga-Adangbe and Eʋe. The ensemble is (left to right, back to front): ƞono, shekeshe, atswereshie, Eʋe sogo, and Eʋe kagan.","dance; Ga; Eʋe; Kpatsa; ƞono; shekeshe; atswereshie; kpanlogo; Eʋe; sogo; kagan;","Accra","5.55","-0.2","Barry Bilderback Personal Ethnomusicology Record","uighana-006f","Image;MovingImage","video/mp4","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://img.youtube.com/vi/lQGR00TzfaA/mqdefault.jpg","https://youtu.be/lQGR00TzfaA","https://thecdil.github.io//ghana-music-initiative/items/uighana-006f.html"
"Femefeme","Felix Akusa Adjetey Sowah","2005","The Teshie-Nungua Cultural Dance Troupe performs Femefeme. The ensemble is (left to right, back to front): ƞono, shekeshe, atswereshie, atswereshie, atswereshie.","dance; Ga; Femefeme; ƞono; shekshe; atswereshie; kpanlogo","Accra","5.55","-0.2","Barry Bilderback Personal Ethnomusicology Record","uighana-006g","Image;MovingImage","video/mp4","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://img.youtube.com/vi/edQjlG5SfzA/mqdefault.jpg","https://youtu.be/edQjlG5SfzA","https://thecdil.github.io//ghana-music-initiative/items/uighana-006g.html"
"Setse","Felix Akusa Adjetey Sowah","2005","The Teshie-Nungua Cultural Dance Troupe performs Setse. The ensemble is (left to right, back to front): Eʋe mba (bamboo clappers), ƞono, shekeshe, atswereshie, atswereshie, atswereshie.","dance; Ga; Setse; Eʋe; mba; ƞono; shekeshe; atswereshie; kpanlogo; ","Accra","5.55","-0.2","Barry Bilderback Personal Ethnomusicology Record","uighana-006h","Image;MovingImage","video/mp4","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://img.youtube.com/vi/Yscjl7u56kA/mqdefault.jpg","https://youtu.be/Yscjl7u56kA","https://thecdil.github.io//ghana-music-initiative/items/uighana-006h.html"
"Gome","Felix Akusa Adjetey Sowah","2005","The Teshie-Nungua Cultural Dance Troupe performs Gome. The ensemble is (left to right, back to front): shekshe, ƞono, gome, atswereshie, atswereshie.","dance; Ga; Gome; shekeshe; ƞono; gome; atswereshie; kpanlogo; ","Accra","5.55","-0.2","Barry Bilderback Personal Ethnomusicology Record","uighana-006i","Image;MovingImage","video/mp4","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://img.youtube.com/vi/mHZNUod80KE/mqdefault.jpg","https://youtu.be/mHZNUod80KE","https://thecdil.github.io//ghana-music-initiative/items/uighana-006i.html"
"Kpanlogo Drum","Allan Fraser – Strobilus","2007-04-02","Musician playing two kpanlogo drums with sticks","dance; Kpanlogo; Ga","Accra","5.55","-0.205","Wikimedia Commons","uighana-007","Image;StillImage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://www.lib.uidaho.edu/digital/objects/ghana-music/thumbs/uighana-007_th.jpg","https://www.lib.uidaho.edu/digital/objects/ghana-music/uighana-007.jpg","https://thecdil.github.io//ghana-music-initiative/items/uighana-007.html"
