subject,count,link
"barry bilderback",19,"https://www.lib.uidaho.edu/demo/browse.html#barry%20bilderback"
"ga",18,"https://www.lib.uidaho.edu/demo/browse.html#ga"
"dance",11,"https://www.lib.uidaho.edu/demo/browse.html#dance"
"eʋe",11,"https://www.lib.uidaho.edu/demo/browse.html#e%CA%8Be"
"felix akusa adjetey sowah",9,"https://www.lib.uidaho.edu/demo/browse.html#felix%20akusa%20adjetey%20sowah"
"dagbamba",5,"https://www.lib.uidaho.edu/demo/browse.html#dagbamba"
"accra",4,"https://www.lib.uidaho.edu/demo/browse.html#accra"
"nungua",4,"https://www.lib.uidaho.edu/demo/browse.html#nungua"
"ensemble",4,"https://www.lib.uidaho.edu/demo/browse.html#ensemble"
"volta",3,"https://www.lib.uidaho.edu/demo/browse.html#volta"
"ceremonial dance",3,"https://www.lib.uidaho.edu/demo/browse.html#ceremonial%20dance"
"homowo",3,"https://www.lib.uidaho.edu/demo/browse.html#homowo"
"harvest",3,"https://www.lib.uidaho.edu/demo/browse.html#harvest"
"tamale",3,"https://www.lib.uidaho.edu/demo/browse.html#tamale"
"brass",3,"https://www.lib.uidaho.edu/demo/browse.html#brass"
"dzodze",3,"https://www.lib.uidaho.edu/demo/browse.html#dzodze"
"kpanlogo",2,"https://www.lib.uidaho.edu/demo/browse.html#kpanlogo"
"senegal",1,"https://www.lib.uidaho.edu/demo/browse.html#senegal"
"sobima",1,"https://www.lib.uidaho.edu/demo/browse.html#sobima"
"sanka",1,"https://www.lib.uidaho.edu/demo/browse.html#sanka"
"gahu",1,"https://www.lib.uidaho.edu/demo/browse.html#gahu"
"kpatsa",1,"https://www.lib.uidaho.edu/demo/browse.html#kpatsa"
"femefeme",1,"https://www.lib.uidaho.edu/demo/browse.html#femefeme"
"setse",1,"https://www.lib.uidaho.edu/demo/browse.html#setse"
"gome",1,"https://www.lib.uidaho.edu/demo/browse.html#gome"
"akan",1,"https://www.lib.uidaho.edu/demo/browse.html#akan"
"northern",1,"https://www.lib.uidaho.edu/demo/browse.html#northern"
"instruments",1,"https://www.lib.uidaho.edu/demo/browse.html#instruments"
"houses",1,"https://www.lib.uidaho.edu/demo/browse.html#houses"
"recreation",1,"https://www.lib.uidaho.edu/demo/browse.html#recreation"
"kpeve",1,"https://www.lib.uidaho.edu/demo/browse.html#kpeve"
"ceremony",1,"https://www.lib.uidaho.edu/demo/browse.html#ceremony"
"atopani",1,"https://www.lib.uidaho.edu/demo/browse.html#atopani"
"allan fraser – strobilus",1,"https://www.lib.uidaho.edu/demo/browse.html#allan%20fraser%20%E2%80%93%20strobilus"
"accra : survey division",1,"https://www.lib.uidaho.edu/demo/browse.html#accra%20:%20survey%20division"
